CountryWorldscopeList,CompanyNameOfficial,CompanyNameOfficialSource,CompanyNameOfficialNotes,ISIN,ISINSource,ISINNotes,WorldscopePermanentID,AccountingPeriodEndDate,CountryOfIncorporation,CountryOfIncorporationSource,CountryOfIncorporationNotes,Consolidation,ConsolidationSource,ConsolidationNotes,AccountingStandards,AccountingStandardsSource,AccountingStandardsNotes,ListingStatus,ListingStatusSource,ListingStatusNotes,ListingPrimary,ListingPrimarySource,ListingPrimaryNotes,SampleNoIFRSGermany2012,SampleNoIFRSGermany2020,SampleGermany2020,SampleNoIFRSUK2007,SampleNoIFRSUK2012,SampleNoIFRSUK2020
Germany,swb AG,1,,,,,C28046630,31/12/2020,Germany,1,,c,1,,IFRS,1,,0,2,"CS: 100% owned by EWE AG less one share; ""§ 315e Abs. 3 i. V. m. Abs. 1 HGB""",,,,,,1,,,
Germany,Bayern-Versicherung Lebensversicherung Aktiengesellschaft,1,,,,,C28047100,31/12/2020,Germany,1,,u,1,,Local,1,,0,8,"CS: subsidiary of Versicherungskammer Bayern; Versicherungskammer Bayern uses HGB (source: AR 2020), so both parent and subsidiaries cannot be capital market oriented",,,,,,1,,,
Germany,Voith GmbH & Co. KGaA,1,,,,,C28047520,30/09/2020,Germany,1,,c,1,,IFRS,1,CS: voluntary IFRS FS,0,2,"CS: ""Voith nicht kapitalmarktorientiert im Sinne der EU-Verordnung (EG) Nr. 1606/2002 ist""",,,,,,1,,,
Germany,Claas Kommanditgesellschaft auf Aktien mbH,1,,,,,C28066220,30/09/2020,Germany,1,,c,1,,IFRS,1,,3,2,"CS: ""§ 315e HGB""; ""kapitalmarktorientiertes Familienunternehmen"" (source: company website)",,,,,,1,,,
Germany,Franz Haniel & Cie. GmbH,1,,,,,C28080670,31/12/2020,Germany,1,,c,1,,IFRS,1,,3,2,"CS: ""§ 315e Abs. 1 HGB""; ""Als Unternehmensgruppe in Familienbesitz ist Haniel nicht an der Börse notiert - dennoch handeln wir kapitalmarktorientiert."" (source: company website)",,,,,,1,,,
Germany,Robert Bosch Gesellschaft mit beschränkter Haftung,1,,,,,C28090570,31/12/2020,Germany,1,,c,1,,IFRS,1,"CS: most likely voluntary IFRS FS (""Ergänzend wurden die Regelungen des § 315e Abs. 3 HGB beachtet."")",0,2,"CS: ""§ 315e Abs. 3 HGB""",,,,,,1,,,
Germany,Freudenberg & Co. Kommanditgesellschaft,1,,,,,C28093370,31/12/2020,Germany,1,,c,1,,IFRS,1,CS: voluntary IFRS FS,0,2,"CS: ""§ 315e Abs. 3 HGB""",,,,,,1,,,
Germany,CompuGroup Medical SE & Co. KGaA,1,,DE000A288904,1,,C28035790,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,GRAMMER Aktiengesellschaft,1,,DE0005895403,1,,C28084690,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,GERRY WEBER International AG,1,,DE000A255G36,1,,C28036450,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA General Standard,1,,,,1,,,
Germany,CECONOMY AG,1,,DE0007257503,1,,C28011490,30/09/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,,,,,,,C280B5100,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,Bertrandt Aktiengesellschaft,1,,DE0005232805,1,,C280A5220,30/09/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,,,,,,,C28084640,31/12/2012,Germany,1,,c + c,,,US GAAP + IFRS,,CS: US GAAP in main AR; IFRS in separate report and in registry,,,,,,,1,,,,,
Germany,Fresenius Medical Care AG & Co. KGaA,1,,DE0005785802,1,,C28084640,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Deutsche Telekom AG,1,,DE0005557508,1,,C280Z1100,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,,,CS: Sanacorp Pharmaholding Aktiengesellschaft,,,,C28084790,31/12/2012,Germany,1,,u,,,Local,,,1,2,,,,,1,,,,,
Germany,Deutsche Balaton Aktiengesellschaft,1,,DE000A2LQT08,1,,C280B5140,31/12/2020,Germany,1,,c,1,,IFRS,1,,2,2,,FRA Basic Board,2,,,,1,,,
Germany,,,,,,,C280B5420,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,Uzin Utz Aktiengesellschaft,1,,DE0007551509,1,,C280B5880,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA General Standard,1,,,,1,,,
Germany,,,,,,,C280B5700,31/12/2012,Germany,1,,c,,CS: consolidated FS published but not available on registry; total assets in WS is from consolidated FS,Local,,,2,2,,,,,1,,,,,
Germany,WashTec AG,1,,DE0007507501,1,,C280B5930,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,AIXTRON SE,1,,DE000A0WMPJ6,1,,C280A5210,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,ProSiebenSat.1 Media SE,1,,DE000PSM7770,1,,C280CA590,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Berliner Effektengesellschaft AG,1,,DE0005221303,2,,C280B4980,31/12/2020,Germany,1,,c,1,,Local,1,,2,3,"CS: Open Market Berlin, Frankfurt (Basic Board), Hamburg, München, Stuttgart, Tradegate (source: DGAP)",FRA Basic Board,2,CS: source: AR from company website (the information is not available in the consolidated FS published on registry),,1,1,,,
Germany,,,,,,,C280B5110,31/12/2012,Germany,1,,c,,,Local,,,2,3,CS: source: company website,,,,1,,,,,
Germany,Mensch und Maschine Software SE,1,,DE0006580806,1,,C280A5290,31/12/2020,Germany,1,,c,1,,IFRS,1,,2,1,,FRA Scale,1,CS: also MUN m:access,,,1,,,
Germany,R. Stahl Aktiengesellschaft,1,,DE000A1PHBB5,1,,C280B5750,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,,,,,,,C280B5890,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,VALORA EFFEKTEN HANDEL AG,1,,DE0007600108,2,,C280B5890,31/12/2020,Germany,1,,u,1,,Local,1,,1,2,,STU Regulated Market,2,,,1,1,,,
Germany,COMMERZBANK Aktiengesellschaft,1,,DE000CBK1001,1,,C280FB170,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,RWE Aktiengesellschaft,1,,DE0007037129,1,,C28046180,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,Siemens Aktiengesellschaft,1,,DE0007236101,1,,C28090060,30/09/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,BASF SE,1,,DE000BASF111,1,,C28090160,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,VOLKSWAGEN AKTIENGESELLSCHAFT,1,,DE0007664039,1,,C28090070,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,DEUTSCHE BANK AKTIENGESELLSCHAFT,1,,DE0005140008,1,,C280B5020,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
